Brand;Calories;Proteins;Fat;Sugar;Sodium
Sterzing -Vipiteno;74;3.7;4.2;4.4;0.1
Esselunga;73;4;4;4.4;0.1
Coop;75;3.7;4.4;4.4;0.1
Muller;94;4.7;3.2;10.8;0.17
Fage;93;9;5;3;0.1
Galbani;74;4.1;4.3;4;0.1
Yomo;83;7.7;0.2;11.8;0.2
Ayo;9.1;4.2;4.1;9.5;0.09
Zymil;76;4.4;1.6;10;0.05
Land;70;4;2;2;0.18
Milk Kefir;132;2.9;9.3;8.2;0.1
Granarolo;86;2.9;3.4;9.8;0.18
Activia;68;3.9;3.5;5.7;0.12
Vitasnella;380;12;8.8;60;2.17
Mila;76;3.7;4.4;5.4;0.1
Amalattea;72;3.3;3.2;3.2;0.1
Scaldasole;55;5.3;0.98;6.3;0.1
Delta;83;7.7;0.2;11.8;0.1
Parmalat;74;4.1;4.3;4;0.1
Cenrale latte Roma;74;4.1;4.3;4;0.1
Cenrale latte Milano;66;3.3;3.8;3.8;0.1
Danio snack;54;9.8;0.1;3.4;0.15
